Name                                             Stmts   Miss  Cover
--------------------------------------------------------------------
apps/__init__.py                                     0      0   100%
apps/api/v1/urls.py                                  3      0   100%
apps/applications/__init__.py                        0      0   100%
apps/applications/admin.py                           4      0   100%
apps/applications/apps.py                            4      0   100%
apps/applications/migrations/0001_initial.py         6      0   100%
apps/applications/migrations/0002_initial.py         6      0   100%
apps/applications/migrations/__init__.py             0      0   100%
apps/applications/models.py                         25      0   100%
apps/applications/serializers.py                    98     11    89%
apps/applications/tests/__init__.py                  0      0   100%
apps/applications/tests/test_models.py              96      1    99%
apps/applications/tests/test_serializers.py        142      2    99%
apps/applications/tests/test_urls.py                25      0   100%
apps/applications/tests/test_views.py              182      0   100%
apps/applications/urls.py                            6      0   100%
apps/applications/views.py                          99      8    92%
apps/companies/__init__.py                           0      0   100%
apps/companies/admin.py                              3      0   100%
apps/companies/apps.py                               4      0   100%
apps/companies/migrations/0001_initial.py            7      0   100%
apps/companies/migrations/__init__.py                0      0   100%
apps/companies/models.py                            27      0   100%
apps/companies/serializers.py                       12      0   100%
apps/companies/tests/__init__.py                     0      0   100%
apps/companies/tests/test_models.py                 36      0   100%
apps/companies/tests/test_views.py                  78      0   100%
apps/companies/urls.py                               6      0   100%
apps/companies/views.py                             19      0   100%
apps/core/__init__.py                                0      0   100%
apps/core/admin.py                                   6      0   100%
apps/core/apps.py                                    4      0   100%
apps/core/cookies.py                                 5      0   100%
apps/core/exception_handler.py                      41     13    68%
apps/core/exceptions.py                             46      1    98%
apps/core/middleware.py                             11      0   100%
apps/core/migrations/0001_initial.py                 6      0   100%
apps/core/migrations/__init__.py                     0      0   100%
apps/core/models.py                                 46      2    96%
apps/core/pagination.py                             11      0   100%
apps/core/permissions.py                            38      4    89%
apps/core/response.py                               49      2    96%
apps/core/serializers.py                            23      0   100%
apps/core/tasks.py                                   5      0   100%
apps/core/tests/__init__.py                          0      0   100%
apps/core/tests/test_exception_handler.py           43      0   100%
apps/core/tests/test_middleware.py                  26      0   100%
apps/core/tests/test_models.py                      37      0   100%
apps/core/tests/test_pagination.py                  43      0   100%
apps/core/tests/test_permissions.py                113      0   100%
apps/core/tests/test_response.py                    42      0   100%
apps/core/tests/test_serializers.py                 47      0   100%
apps/core/tests/test_tasks.py                       23      0   100%
apps/core/tests/test_utils.py                       23      0   100%
apps/core/tests/test_views.py                       84      0   100%
apps/core/urls.py                                    5      0   100%
apps/core/utils.py                                   6      0   100%
apps/core/views.py                                  83     17    80%
apps/placements/__init__.py                          0      0   100%
apps/placements/admin.py                             4      0   100%
apps/placements/apps.py                              4      0   100%
apps/placements/migrations/0001_initial.py           7      0   100%
apps/placements/migrations/__init__.py               0      0   100%
apps/placements/models.py                           55      0   100%
apps/placements/serializers.py                     103      9    91%
apps/placements/tests/__init__.py                    0      0   100%
apps/placements/tests/test_models.py                73      0   100%
apps/placements/tests/test_serializers.py           85      0   100%
apps/placements/tests/test_utils.py                 92      0   100%
apps/placements/tests/test_views.py                131      0   100%
apps/placements/urls.py                              8      0   100%
apps/placements/utils.py                            22      0   100%
apps/placements/views.py                            57      1    98%
apps/students/__init__.py                            0      0   100%
apps/students/admin.py                               3      0   100%
apps/students/apps.py                                4      0   100%
apps/students/migrations/0001_initial.py             8      0   100%
apps/students/migrations/__init__.py                 0      0   100%
apps/students/models.py                             29      0   100%
apps/students/serializers.py                        81      2    98%
apps/students/tests/__init__.py                      0      0   100%
apps/students/tests/test_models.py                  85      2    98%
apps/students/tests/test_serializers.py             83      0   100%
apps/students/tests/test_views.py                  121      0   100%
apps/students/urls.py                                6      0   100%
apps/students/views.py                             102     21    79%
apps/users/__init__.py                               0      0   100%
apps/users/admin.py                                 57     27    53%
apps/users/apps.py                                   6      0   100%
apps/users/authentication.py                        23      3    87%
apps/users/migrations/0001_initial.py                5      0   100%
apps/users/migrations/__init__.py                    0      0   100%
apps/users/models.py                                64      2    97%
apps/users/serializers.py                          168     19    89%
apps/users/signals.py                                9      3    67%
apps/users/tests/__init__.py                         0      0   100%
apps/users/tests/test_auth.py                      108      0   100%
apps/users/tests/test_models.py                     95      0   100%
apps/users/tests/test_permissions.py                98      0   100%
apps/users/tests/test_serializers.py               151      0   100%
apps/users/tests/test_views.py                     135      0   100%
apps/users/urls.py                                   6      0   100%
apps/users/views/__init__.py                         4      0   100%
apps/users/views/admin_views.py                     76      6    92%
apps/users/views/auth_views.py                      95     12    87%
apps/users/views/profile_views.py                   23      0   100%
placemate/__init__.py                                0      0   100%
placemate/settings/__init__.py                       0      0   100%
placemate/settings/base.py                          43      1    98%
placemate/settings/test.py                          12      0   100%
placemate/urls.py                                    7      0   100%
tests/__init__.py                                    0      0   100%
tests/e2e/__init__.py                                0      0   100%
tests/e2e/test_admin_journey.py                     89      4    96%
tests/e2e/test_student_journey.py                  105      0   100%
tests/integration/__init__.py                        0      0   100%
tests/integration/test_application_workflow.py     110      4    96%
tests/integration/test_auth_flows.py                82      0   100%
tests/integration/test_drive_management.py         113      0   100%
tests/security/__init__.py                           0      0   100%
tests/security/test_business_logic.py               43      0   100%
--------------------------------------------------------------------
TOTAL                                             4644    177    96%
